WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
Act.                     6     2     4     3    52   358   125     4     4   331      10
The                    -99     0     0     0     0   359     0     0     0     0       0
Lords                    6     2     5     5    62   360   173     5     5   332       9
could                  -99     0     0     0     0   361     0     0     0     0       0
call                     6     2     4     4    71   362   202     2     2   333      22
Mr                       6     2     2     2    74   363   185     0     0   334     109
Blair's                -99     0     0     0     0   364     0     0     0     0       0
bluff                    6     3     5     5    11   365   156     3     3   335       1
if                     -99     0     0     0     0   366     0     0     0     0       0
they                     6     3     4     4    21   367   146     4     4   336     258
they                     6     3     4     4    19   367   197     2     2   337     258
judge                    6     3     5     5    23   368   204     1     1   338       6
that                   -99     0     0     0     0   369     0     0     0     0       0
he                       6     3     2     2    35   370   369     2     2   339     265
really                 -99     0     0     0     0   371     0     0     0     0       0
would                    6     3     5     5    46   372   243     3     3   341     146
would                    6     3     5     5    46   372    59     3     3   342     146
not                    -99     0     0     0     0   373     0     0     0     0       0
want                     6     3     4     4    55   374   232     2     2   343      40
want                     6     3     4     4    55   374   188     2     2   346      40
to                       6     3     2     2    60   375   207     2     2   345    1597
have                   -99     0     0     0     0   376     0     0     0     0       0
the                      6     3     3     3    66   377   584     0     0   344    3511
the                      6     3     3     3    67   377   174     1     1   347    3511
so-called                6     3     9     9    75   378   155     5     5   348     -99
countryside              6     4    11    11     2   379   154     2     2   349       2
march                    6     4     5     5    16   380   218     4     4   351       5
march                    6     4     5     5    14   380   298     2     2   354       5
on                     -99     0     0     0     0   381     0     0     0     0       0
Whitehall                6     4     9     9    23   382   188     2     2   350       5
Whitehall                6     4     9     9    29   382   328     8     8   352       5
again.                   6     4     6     5    34   383   179     3     3   353      28
again.                   6     4     6     5    35   383   223     4     4   355      28
This                   -99     0     0     0     0   384     0     0     0     0       0
is                       6     4     2     2    48   385   286     1     1   360     717
no                       6     4     2     2    50   386   197     0     0   356     117
no                       6     4     2     2    50   386   244     0     0   358     117
way                      6     4     3     3    56   387   188     3     3   361      58
to                       6     4     2     2    57   388   266     0     0   357    1597
to                       6     4     2     2    57   388   138     0     0   359    1597
decide                 -99     0     0     0     0   389     0     0     0     0       0
an                       6     4     2     2    67   390   157     0     0   362     195
issue                    6     4     5     5    75   391   150     5     5   363      28
of                     -99     0     0     0     0   392     0     0     0     0       0
principle.               6     5    10     9     1   393   242     1     1   364       8
The                    -99     0     0     0     0   394     0     0     0     0       0
majority                 6     5     8     8    19   395   156     4     4   366       4
