WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
discover                 9     1     8     8    24   533   239     6     6   -16       4
Scottish                 9     1     8     8    37   536   179     1     1   -13       3
Scottish                 9     1     8     8    44   536   103     8     8    -7       3
medallists               9     1    10    10    50   538   171     0     0    -6       1
medallists               9     1    10    10    53   538    80     3     3    -3       1
captured                 9     1     8     8    68   540   222     3     3   -15       1
hearts                   9     1     6     6    77   541   126     3     3    -9       4
helped                   9     2     6     6    21   545   175     2     2   -99       8
in                       9     2     2     2    26   546   100     0     0    -5    1091
sweeping                 9     2     8     8    40   548   189     5     5   -14       2
sweeping                 9     2     8     8    40   548    52     5     5     0       2
stone-sliding            9     2    13    13    52   550   225     4     4   -12     -99
stone-sliding            9     2    13    13    58   550   158    10    10    -6     -99
technique                9     2     9     9    68   551   325     6     6   -10       5
technique                9     2     9     9    70   551   108     8     8    -2       5
analysis                 9     3     8     8    15   554   257     6     6   -99       2
Centre                   9     3     6     6    26   557   164     1     1   -11      16
Centre                   9     3     6     6    30   557   106     5     5    -4      16
Materials                9     3     9     9    40   559   239     4     4   -10      10
Science                  9     3     7     7    49   560    74     3     3    -9      19
for                      9     3     3     3    34   558   186     2     2    15     519
Centre                   9     3     6     6    30   557   233     5     5     4      16
the                      9     3     3     3    22   556   181     1     1     8    3511
Materials                9     3     9     9    38   559   262     2     2   -16      10
Science                  9     3     7     7    47   560   206     1     1    -9      19
Engineering              9     3    11    11    61   562   189     3     3   -14       3
the                      9     3     3     3    73   564   140     0     0   -12    3511
Edinburgh.               9     4    10     9    17   567   262     3     3   -99       1
seems                    9     4     5     5    35   569   237     3     3   -18      30
tradition                9     4     9     9    46   571   257     4     4   -11       4
sporting                 9     4     8     8    57   573   232     2     2   -11       1
amateurism               9     4    10    10    69   574   225     5     5   -12       1
is                       9     4     2     2    75   575   122     0     0    -6     717
in                       9     5     2     2     6   577   120     0     0   -99    1091
hands                    9     5     5     5    17   579   212     4     4   -11       5
