WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
for                      6     1     3     3    18   322   120     0     0    -2     519
genetic                  6     1     7     7    24   323   159     2     2    -6       4
pre-selection.           6     1    14    13    38   324   173     8     8   -14     -99
pre-selection.           6     1    14    13    35   324    87     5     5     3     -99
pre-selection.           6     1    14    13    32   324    81     2     2     3     -99
*Blink                   6   -99    14    13   -99   -99    69   -99   -99   -99     -99
pre-selection.           6     1    14    13    37   324   226     7     7   -99     -99
That                     6     1     4     4    52   325   174     3     3   -15     871
That                     6     1     4     4    50   325   154     1     1     2     871
is                       6     1     2     2    55   326   208     1     1    -5     717
That                     6     1     4     4    50   325   233     1     1     5     871
why                      6     1     3     3    57   327   156     0     0    -7      35
is                       6     1     2     2    66   329   174     2     2    -9     717
why                      6     1     3     3    60   327   136     3     3     6      35
also                     6     1     4     4    68   330    58     1     1    -8      58
*Off-screen              6   -99     4     4   -99   -99   161   -99   -99   -99     -99
that                     6     2     4     4     1   332   212     1     1   -99     871
HFEA                     6     2     4     4    12   334   127     3     3   -11       6
*Blink                   6   -99     4     4   -99   -99    77   -99   -99   -99     -99
continues                6     2     9     9    17   335    62     3     3   -99       6
continues                6     2     9     9    16   335    74     2     2     1       6
reject                   6     2     6     6    29   337   164     2     2   -13       3
to                       6     2     2     2    26   336   240     2     2     3    1597
reject                   6     2     6     6    29   337    56     2     2    -3       3
genetic                  6     2     7     7    38   338   412     4     4    -9       4
pre-selection            6     2    13    13    45   339   245     3     3    -7     -99
genetic                  6     2     7     7    37   338    81     3     3     8       4
pre-selection            6     2    13    13    44   339   243     2     2    -7     -99
pre-selection            6     2    13    13    46   339   129     4     4    -2     -99
pre-selection            6     2    13    13    49   339   361     7     7    -3     -99
if                       6     2     2     2    57   340    77     1     1    -8     150
it                       6     2     2     2    59   341   238     0     0    -2     544
it                       6     2     2     2    60   341   195     1     1    -1     544
helps                    6     2     5     5    66   342   170     4     4    -6       4
parents                  6     2     7     7    73   343   225     5     5    -7      21
gender,                  6     3     7     6    11   345    97     4     4   -99       1
resist                   6     5     6     6    24   371    96     3     3   -99       2
resist                   6     5     6     6    22   371    77     1     1     2       2
more                     6     3     4     4    26   348   283     1     1   -99     168
superficial              6     3    11    11    31   349   264     1     1    -5       1
alone                    6     3     5     5    24   347    72     5     5     7      10
resist                   6     5     6     6    26   371    83     5     5   -99       2
more                     6     3     4     4    25   348   104     0     0   -99     168
superficial              6     3    11    11    31   349   196     1     1    -6       1
superficial              6     3    11    11    37   349   294     7     7    -6       1
superficial              6     3    11    11    34   349   260     4     4     3       1
preferences              6     3    11    11    48   350    57     6     6   -14       2
a                        6     3     1     1    59   352   113     1     1   -11    1434
for                      6     3     3     3    57   351   192     3     3     2     519
certain                  6     3     7     7    65   353   330     5     5    -8       7
appearance.              6     3    11    10    76   354   281     8     8   -11       3
appearance.              6     3    11    10    74   354   185     6     6     2       3
Grounds                  6     4     7     7     1   355   340     1     1   -99       2
of                       6     4     2     2    10   356   231     2     2    -9    1757
preference               6     4    10    10    22   358   416     6     6   -12       1
not                      6     4     3     3    32   360    83     1     1   -10     277
not                      6     4     3     3    33   360   116     2     2    -1     277
enough                   6     4     6     6    40   361   243     5     5    -7      32
make                     6     4     4     4    49   363   264     4     4    -9      60
parental                 6     4     8     8    56   364   384     6     6    -7       3
parental                 6     4     8     8    52   364   122     2     2     4       3
